Name,Ad Read Tracker,Contact Email,Contracts,Filmed and edited,Published,Status
Augment Code,"Augment Code 1 (https://www.notion.so/Augment-Code-1-19ac26b3b4f98039bf17c22345f9ea25?pvs=21), Augment Code 2 (https://www.notion.so/Augment-Code-2-19ac26b3b4f98016bbc0ca1070f572f8?pvs=21), Augment Code 3 (https://www.notion.so/Augment-Code-3-1c2c26b3b4f98008a5e5c6377cf70076?pvs=21), Augment Code Jul 25-1 (https://www.notion.so/Augment-Code-Jul-25-1-231c26b3b4f980e98305e22c4c34fa37?pvs=21), Augment Code Jul 25-2 (https://www.notion.so/Augment-Code-Jul-25-2-231c26b3b4f9809dbc2ad8f5b76741f1?pvs=21), Augment Code Aug 25-1 (https://www.notion.so/Augment-Code-Aug-25-1-231c26b3b4f980e09af1e96fd5ee467e?pvs=21), Augment Code Aug 25-2 (https://www.notion.so/Augment-Code-Aug-25-2-231c26b3b4f9806da6fccb6b79ee7ed6?pvs=21), Augment Code Aug 25-3 (https://www.notion.so/Augment-Code-Aug-25-3-231c26b3b4f980238a51c8a3640873d8?pvs=21)",,Augment 6 pack 2025 1 (https://www.notion.so/Augment-6-pack-2025-1-268c26b3b4f980ac8ccfea497acaa959?pvs=21),8/8,8/8,Done
Dockyard,"Dockyard 1 (https://www.notion.so/Dockyard-1-19ac26b3b4f9806bada5e4288ed401b7?pvs=21), Dockyard 2 (https://www.notion.so/Dockyard-2-19ac26b3b4f98076abaac00c7161d4da?pvs=21)",,Dockyard 2 Pack 2025 (https://www.notion.so/Dockyard-2-Pack-2025-268c26b3b4f980eabce7f71e50d32280?pvs=21),1/2,1/2,Done
Lovable,"Lovable 1 (https://www.notion.so/Lovable-1-19ac26b3b4f9803ea296cdc81e0ef94a?pvs=21), Lovable 2 (https://www.notion.so/Lovable-2-19ac26b3b4f98054a3e0dc84dcb18ff9?pvs=21)",,,2/2,2/2,Done
Highlight,"Highlight 1 (https://www.notion.so/Highlight-1-19ac26b3b4f98064947fe897fab39c15?pvs=21), Highlight 2 (https://www.notion.so/Highlight-2-19ac26b3b4f9805ea28edbdcfaeb7fdd?pvs=21), Highlight 3 (https://www.notion.so/Highlight-3-19ac26b3b4f980d4ba87e29a4d81de60?pvs=21)",,,0/3,0/3,Done
WorkOS,"WorkOS 1 (https://www.notion.so/WorkOS-1-1b3c26b3b4f980779792c1916abdaf59?pvs=21), WorkOS 2 (https://www.notion.so/WorkOS-2-1b3c26b3b4f980208571e7f13c0d49af?pvs=21), WorkOS May 25-1 (https://www.notion.so/WorkOS-May-25-1-1e7c26b3b4f98034b4e9f7cbce828e42?pvs=21), WorkOS May 25-2 (https://www.notion.so/WorkOS-May-25-2-1e7c26b3b4f980b7826bee5965f262af?pvs=21), WorkOS May 25-3 (https://www.notion.so/WorkOS-May-25-3-1e7c26b3b4f980f0aaf2fdf8d02f7f79?pvs=21), WorkOS May 25-4 (https://www.notion.so/WorkOS-May-25-4-1e7c26b3b4f980bba337e8aff4367028?pvs=21), WorkOS Jun 25-1 (https://www.notion.so/WorkOS-Jun-25-1-1e7c26b3b4f980689b56c8c64e438437?pvs=21), WorkOS Jun 25-2 (https://www.notion.so/WorkOS-Jun-25-2-1e7c26b3b4f9803596ffd66aed8f2a71?pvs=21), WorkOS Jun 25-3 (https://www.notion.so/WorkOS-Jun-25-3-1e7c26b3b4f980d19295c0019a154a5d?pvs=21), WorkOS Jun 25-4 (https://www.notion.so/WorkOS-Jun-25-4-1e7c26b3b4f9808089cfe5c840d4ec50?pvs=21), WorkOS Jul 25-1 (https://www.notion.so/WorkOS-Jul-25-1-1e7c26b3b4f980cda788ebf3faeeb573?pvs=21), WorkOS Jul 25-2 (https://www.notion.so/WorkOS-Jul-25-2-1e7c26b3b4f98095945deba084c45007?pvs=21), WorkOS Jul 25-3 (https://www.notion.so/WorkOS-Jul-25-3-1e7c26b3b4f980d48adaf6d237b245d5?pvs=21), WorkOS Jul 25-4 (https://www.notion.so/WorkOS-Jul-25-4-1e7c26b3b4f9804e9819e71c1c56d929?pvs=21), WorkOS Aug 25-1 (https://www.notion.so/WorkOS-Aug-25-1-231c26b3b4f9809d8b8cd085103bbb1a?pvs=21), WorkOS Aug 25-2 (https://www.notion.so/WorkOS-Aug-25-2-231c26b3b4f9809d95c7d70239c36f12?pvs=21), WorkOS Aug 25-3 (https://www.notion.so/WorkOS-Aug-25-3-231c26b3b4f980318a30c7c6ecf1269f?pvs=21), WorkOS Aug 25-4 (https://www.notion.so/WorkOS-Aug-25-4-231c26b3b4f9807bb64eff74be0683e7?pvs=21), WorkOS Sep 25-1 (https://www.notion.so/WorkOS-Sep-25-1-231c26b3b4f980a0921ad3df1999ebad?pvs=21), WorkOS Sep 25-2 (https://www.notion.so/WorkOS-Sep-25-2-231c26b3b4f98078b9f9e41b521d4086?pvs=21), WorkOS Sep 25-3 (https://www.notion.so/WorkOS-Sep-25-3-231c26b3b4f980a89742d77c692390b4?pvs=21), WorkOS Sep 25-4 (https://www.notion.so/WorkOS-Sep-25-4-231c26b3b4f980749874e80ed62a6df2?pvs=21), WorkOS Oct 25-1 (https://www.notion.so/WorkOS-Oct-25-1-231c26b3b4f980378c46ee7a39b436e3?pvs=21), WorkOS Oct 25-2 (https://www.notion.so/WorkOS-Oct-25-2-231c26b3b4f9808b9dacd36ae0a3a594?pvs=21), WorkOS Nov 25-1 (https://www.notion.so/WorkOS-Nov-25-1-231c26b3b4f980aa8434e5bed0119569?pvs=21), WorkOS Nov 25-2 (https://www.notion.so/WorkOS-Nov-25-2-231c26b3b4f980a1b038d3ab43a2e97b?pvs=21), WorkOS Dec 25-1 (https://www.notion.so/WorkOS-Dec-25-1-2a7c26b3b4f98006a01efecc4c9509f3?pvs=21), WorkOS Dec 25-2 (https://www.notion.so/WorkOS-Dec-25-2-2a7c26b3b4f9809ab7dad18afc018924?pvs=21), WorkOS Dec 25-3 (https://www.notion.so/WorkOS-Dec-25-3-2a7c26b3b4f9801d9bb8eec5a7417567?pvs=21), WorkOS Dec 25-4 (https://www.notion.so/WorkOS-Dec-25-4-2a7c26b3b4f9807989e0c2eb70e266da?pvs=21), WorkOS Jan 26-1 (https://www.notion.so/WorkOS-Jan-26-1-2a7c26b3b4f98072a6fece209f7b2922?pvs=21), WorkOS Jan 26-2 (https://www.notion.so/WorkOS-Jan-26-2-2a7c26b3b4f9800b89e7f476a4b8eb46?pvs=21), WorkOS Jan 26-3 (https://www.notion.so/WorkOS-Jan-26-3-2a7c26b3b4f980468669d32d6f1426ea?pvs=21), WorkOS Jan 26-4 (https://www.notion.so/WorkOS-Jan-26-4-2a7c26b3b4f9807688b0e617c4a5dbd3?pvs=21), WorkOS Feb 26-1 (https://www.notion.so/WorkOS-Feb-26-1-2a7c26b3b4f9805e8bbecac0637ea3ba?pvs=21), WorkOS Feb 26-2 (https://www.notion.so/WorkOS-Feb-26-2-2a7c26b3b4f9804492f7dc5e9a9cc8a9?pvs=21), WorkOS Feb 26-3 (https://www.notion.so/WorkOS-Feb-26-3-2a7c26b3b4f980098ab6f861d128e022?pvs=21), WorkOS Feb 26-4 (https://www.notion.so/WorkOS-Feb-26-4-2a7c26b3b4f980e19d77deb1a92af533?pvs=21), WorkOS Mar 26-1 (https://www.notion.so/WorkOS-Mar-26-1-2a7c26b3b4f9803b82c6cf15a82cd46d?pvs=21), WorkOS Mar 26-2 (https://www.notion.so/WorkOS-Mar-26-2-2a7c26b3b4f98007b855fb1184540aef?pvs=21), WorkOS Mar 26-3 (https://www.notion.so/WorkOS-Mar-26-3-2a7c26b3b4f980afaffbed6453ca524e?pvs=21), WorkOS Mar 26-4 (https://www.notion.so/WorkOS-Mar-26-4-2a7c26b3b4f9804685d4f5b845ad1ab4?pvs=21), WorkOS Apr 26-1 (https://www.notion.so/WorkOS-Apr-26-1-2b9c26b3b4f9800baa4be1c6b23e3914?pvs=21), WorkOS Apr 26-2 (https://www.notion.so/WorkOS-Apr-26-2-2b9c26b3b4f980f18216d4d656afedd1?pvs=21), WorkOS Apr 26-3 (https://www.notion.so/WorkOS-Apr-26-3-2b9c26b3b4f980749deedecd74aeb97a?pvs=21), WorkOS Apr 26-4 (https://www.notion.so/WorkOS-Apr-26-4-2b9c26b3b4f980b4998ee2eb49f05cb7?pvs=21), WorkOS May 26-1 (https://www.notion.so/WorkOS-May-26-1-2b9c26b3b4f980ada653e0a314f30dd7?pvs=21), WorkOS May 26-2 (https://www.notion.so/WorkOS-May-26-2-2b9c26b3b4f9804e8a51ef5f42c8e322?pvs=21), WorkOS May 26-3 (https://www.notion.so/WorkOS-May-26-3-2b9c26b3b4f9806ea7faf714822a5133?pvs=21), WorkOS May 26-4 (https://www.notion.so/WorkOS-May-26-4-2b9c26b3b4f9808f993bc0ad778f457c?pvs=21)",,"WorkOS blitz 1 2025 (https://www.notion.so/WorkOS-blitz-1-2025-268c26b3b4f980019d08e8486ef597c0?pvs=21), WorkOS blitz 2 2025 (https://www.notion.so/WorkOS-blitz-2-2025-268c26b3b4f98099b0dfd0efd1044fb3?pvs=21), WorkOS blitz 3 2025 (https://www.notion.so/WorkOS-blitz-3-2025-2a7c26b3b4f980f2b04aea454643ca34?pvs=21)",31/50,31/50,Done
Fondo,Fondo 1 (https://www.notion.so/Fondo-1-1c7c26b3b4f980e19d27d49cd085284d?pvs=21),,,1/1,1/1,Done
Mobbin,"Mobbin 1 (https://www.notion.so/Mobbin-1-1d5c26b3b4f9809d913dc5447c7a66cb?pvs=21), Mobbin 2 (https://www.notion.so/Mobbin-2-1d5c26b3b4f98060ace7f936d9a9adba?pvs=21), Mobbin 3 (https://www.notion.so/Mobbin-3-1fdc26b3b4f980cf8926dc6c45abf2b4?pvs=21), Mobbin 4 (https://www.notion.so/Mobbin-4-200c26b3b4f980ffa25fcfc28b6895de?pvs=21), Mobbin 5 (https://www.notion.so/Mobbin-5-200c26b3b4f980beb151cd4d534dc968?pvs=21), Mobbin 6 (https://www.notion.so/Mobbin-6-200c26b3b4f980c78885e82a581f9c50?pvs=21), Mobbin 7 (https://www.notion.so/Mobbin-7-200c26b3b4f980b49b4fc13ef24842fe?pvs=21), Mobbin 8 (https://www.notion.so/Mobbin-8-200c26b3b4f9800b85abff00d82e5b7a?pvs=21), Mobbin 9 (https://www.notion.so/Mobbin-9-200c26b3b4f980d1b3dad475a4a9458b?pvs=21), Mobbin 10 (https://www.notion.so/Mobbin-10-200c26b3b4f980d6badef11a0c651611?pvs=21), Mobbin 11 (https://www.notion.so/Mobbin-11-200c26b3b4f980e39f84c06442c64ac7?pvs=21), Mobbin 12 (https://www.notion.so/Mobbin-12-200c26b3b4f980aeae69d80d09cb4a7e?pvs=21), Mobbin 13 (https://www.notion.so/Mobbin-13-200c26b3b4f980a1afcfc36077faacee?pvs=21), Mobbin 14 (https://www.notion.so/Mobbin-14-200c26b3b4f9800ca337c8baad3b3e87?pvs=21)",,Mobbin 12 pack 2025 (https://www.notion.so/Mobbin-12-pack-2025-268c26b3b4f980c28f26e2bbc47e7109?pvs=21),13/14,13/14,Done
Agentuity,"Agentuity 1 (https://www.notion.so/Agentuity-1-1d8c26b3b4f980ae86b5c0b0188dbf82?pvs=21), Agentuity Aug 25-1 (https://www.notion.so/Agentuity-Aug-25-1-245c26b3b4f980dbb4f1cee9f921da7b?pvs=21), Agentuity Sep 25-1 (https://www.notion.so/Agentuity-Sep-25-1-245c26b3b4f98078bf6eec03cde59d6d?pvs=21), Agentuity Nov 25-2 (https://www.notion.so/Agentuity-Nov-25-2-245c26b3b4f9808d822ad4128d585267?pvs=21), Agentuity Nov 25-1 (https://www.notion.so/Agentuity-Nov-25-1-245c26b3b4f9808495dffa98ba324a54?pvs=21), Agentuity Dec 25-1 (https://www.notion.so/Agentuity-Dec-25-1-245c26b3b4f98059b388fa7e18dc251e?pvs=21), Agentuity Jan 25-1 (https://www.notion.so/Agentuity-Jan-25-1-245c26b3b4f98030b58ef3d6cfa0faa1?pvs=21)",,Agentuity annual pt. 1 (https://www.notion.so/Agentuity-annual-pt-1-268c26b3b4f980ea8699dc8cd2c9222a?pvs=21),3/7,3/7,Done
Imagekit,"ImageKit 1 (https://www.notion.so/ImageKit-1-1e3c26b3b4f98007ad0ef3b647060a8d?pvs=21), ImageKit 2 (https://www.notion.so/ImageKit-2-1e3c26b3b4f980179191fa33d3d9a31c?pvs=21)",,ImageKit 2 Pack 2025 (https://www.notion.so/ImageKit-2-Pack-2025-268c26b3b4f98059ade7ed318f5fb2a5?pvs=21),2/2,2/2,Done
Firecrawl,"Firecrawl 1 (https://www.notion.so/Firecrawl-1-1f4c26b3b4f980d28095dc5623fd387a?pvs=21), Firecrawl 2 (https://www.notion.so/Firecrawl-2-1f4c26b3b4f980f88ac4f934c5ba6efb?pvs=21)",,Firecrawl 2 Pack 2025 (https://www.notion.so/Firecrawl-2-Pack-2025-268c26b3b4f980349677c7b18e073b42?pvs=21),2/2,2/2,Done
Embrace,"Embrace 1 (https://www.notion.so/Embrace-1-221c26b3b4f98087a296c5673e6397d6?pvs=21), Embrace 2 (https://www.notion.so/Embrace-2-221c26b3b4f9807a8c03e16db3bfa107?pvs=21)",,Embrace 2 Pack 2025 (https://www.notion.so/Embrace-2-Pack-2025-268c26b3b4f980de885eea3bacfd8d9f?pvs=21),2/2,2/2,Done
Exa,Exa 1 (https://www.notion.so/Exa-1-21cc26b3b4f98026ad2de969a112d5a8?pvs=21),,Exa Single 2025 (https://www.notion.so/Exa-Single-2025-268c26b3b4f980008e3ae01b29bc7387?pvs=21),1/1,1/1,Done
Sentry,"Sentry 1 (https://www.notion.so/Sentry-1-21dc26b3b4f98085b6b9debfbd3370e7?pvs=21), Sentry 2 (https://www.notion.so/Sentry-2-21dc26b3b4f980c9b711d37ebf6e061e?pvs=21)",,Sentry 2 Pack 2025 (https://www.notion.so/Sentry-2-Pack-2025-268c26b3b4f9803283d5ced86dc38f56?pvs=21),0/2,0/2,Done
kilocode,"Kilocode 1 (https://www.notion.so/Kilocode-1-221c26b3b4f980e4b4b6f60a32e9b85b?pvs=21), Kilocode 2 (https://www.notion.so/Kilocode-2-221c26b3b4f98036a464c078e1e7fc3b?pvs=21), Kilocode Apr 26-1 (https://www.notion.so/Kilocode-Apr-26-1-290c26b3b4f980348591c8df5f3d90f5?pvs=21), Kilocode Nov 25-1 (https://www.notion.so/Kilocode-Nov-25-1-290c26b3b4f98012947ac7d5a3324e70?pvs=21), Kilocode May 26-1 (https://www.notion.so/Kilocode-May-26-1-290c26b3b4f9808da669f8cdcc26f3a3?pvs=21), Kilocode Jan 25-1 (https://www.notion.so/Kilocode-Jan-25-1-290c26b3b4f980b08a80cdc029d93bb1?pvs=21), Kilocode Feb 25-1 (https://www.notion.so/Kilocode-Feb-25-1-290c26b3b4f980769aabfbff8e169ca5?pvs=21), Kilocode Mar 25-1 (https://www.notion.so/Kilocode-Mar-25-1-290c26b3b4f98090917ddada7a37a959?pvs=21)",,"Kilocode 2 Pack 2025 (https://www.notion.so/Kilocode-2-Pack-2025-268c26b3b4f980938193cc533036f922?pvs=21), Kilocode 6 Pack late 2025 (https://www.notion.so/Kilocode-6-Pack-late-2025-290c26b3b4f98087adedfed8df36059b?pvs=21)",3/8,3/8,Done
Depot,"Depot 1 (https://www.notion.so/Depot-1-22ac26b3b4f980d7be58fb641eaa59d8?pvs=21), Depot 2 (https://www.notion.so/Depot-2-22ac26b3b4f980039d62e84ae8112489?pvs=21), Depot Sep 25-1 (https://www.notion.so/Depot-Sep-25-1-265c26b3b4f98050963dd01ed80d445d?pvs=21), Depot Sep 25-2 (https://www.notion.so/Depot-Sep-25-2-265c26b3b4f980bc8ddbf500063379c5?pvs=21), Depot Oct 25-1 (https://www.notion.so/Depot-Oct-25-1-265c26b3b4f98020bd7eedd45993be1e?pvs=21), Depot Nov 25-1 (https://www.notion.so/Depot-Nov-25-1-265c26b3b4f98035afe9c3b7265b6a1c?pvs=21), Depot Nov 25-2 (https://www.notion.so/Depot-Nov-25-2-265c26b3b4f9805aba89ce1b65694ee8?pvs=21), Depot Dec 25-1 (https://www.notion.so/Depot-Dec-25-1-265c26b3b4f980f79c0bc38c00514b67?pvs=21), Depot Jan 26-3 (https://www.notion.so/Depot-Jan-26-3-265c26b3b4f980f0a8b4d6a77ff3cb6b?pvs=21), Depot Jan 26-1 (https://www.notion.so/Depot-Jan-26-1-265c26b3b4f980dab8c4e24a1eceeea4?pvs=21), Depot Jan 26-2 (https://www.notion.so/Depot-Jan-26-2-265c26b3b4f980c8b7a6c11a411fd785?pvs=21), Depot Feb 26-1 (https://www.notion.so/Depot-Feb-26-1-265c26b3b4f980d08c00c5eaa0bb65e6?pvs=21), Depot Feb 26-2 (https://www.notion.so/Depot-Feb-26-2-265c26b3b4f9804385dafbd881afbe3e?pvs=21), Depot Mar 26-1 (https://www.notion.so/Depot-Mar-26-1-265c26b3b4f980c0b51bdf1b65f1a898?pvs=21), Depot Mar 26-2 (https://www.notion.so/Depot-Mar-26-2-265c26b3b4f98093afabcf274fd88b1c?pvs=21), Depot Apr 26-1 (https://www.notion.so/Depot-Apr-26-1-265c26b3b4f98020b122fe23b93e2b0c?pvs=21), Depot Apr 26-2 (https://www.notion.so/Depot-Apr-26-2-265c26b3b4f980cb81bcd3457283c492?pvs=21), Depot May 26-1 (https://www.notion.so/Depot-May-26-1-265c26b3b4f9803cafa0e0b33246b8b5?pvs=21), Depot May 26-2 (https://www.notion.so/Depot-May-26-2-265c26b3b4f980a5911ccc4544761de2?pvs=21), Depot Jun 26-1 (https://www.notion.so/Depot-Jun-26-1-265c26b3b4f980d6897bd7bdb8f41f1a?pvs=21), Depot Jun 26-2 (https://www.notion.so/Depot-Jun-26-2-265c26b3b4f9804dbdc1f8ed79b8c70b?pvs=21), Depot Jul 26-1 (https://www.notion.so/Depot-Jul-26-1-265c26b3b4f980999339da8e3f225486?pvs=21), Depot Jul 26-2 (https://www.notion.so/Depot-Jul-26-2-265c26b3b4f980cf8254f62c03dff14a?pvs=21), Depot Aug 26-1 (https://www.notion.so/Depot-Aug-26-1-265c26b3b4f98091a99bfc99e4b1852a?pvs=21), Depot Aug 26-2 (https://www.notion.so/Depot-Aug-26-2-265c26b3b4f980ce91fcc8f428a82dc6?pvs=21), Depot Oct 25-2 (https://www.notion.so/Depot-Oct-25-2-280c26b3b4f9805da492cf1cb9a47ac4?pvs=21)",,"Depot 2025-2026 annual (https://www.notion.so/Depot-2025-2026-annual-268c26b3b4f980ae8d4efe495a3a8e48?pvs=21), Depot 2 Pack 2025 (https://www.notion.so/Depot-2-Pack-2025-268c26b3b4f980958eb5e5cf67baccff?pvs=21)",11/26,9/26,Done
arcjet,"Arcjet 1 (https://www.notion.so/Arcjet-1-22ac26b3b4f98031865cc0eb38bb4e26?pvs=21), Arcjet 2 (https://www.notion.so/Arcjet-2-22ac26b3b4f9809ab495e346559c9694?pvs=21), Arcjet Sep 25-1 (https://www.notion.so/Arcjet-Sep-25-1-268c26b3b4f980a78ec0c7107aed455b?pvs=21), Arcjet Oct 25-1 (https://www.notion.so/Arcjet-Oct-25-1-268c26b3b4f9808884b5c9d18990b29a?pvs=21), Arcjet Dec 25-1 (https://www.notion.so/Arcjet-Dec-25-1-268c26b3b4f98033a8c4f709a2ae37cf?pvs=21), Arcjet Dec 25-2 (https://www.notion.so/Arcjet-Dec-25-2-268c26b3b4f980b19085ec7d4af6c0bc?pvs=21), Arcjet Jan 26-1 (https://www.notion.so/Arcjet-Jan-26-1-268c26b3b4f9808892c9e61db14e26d6?pvs=21), Arcjet Feb 26-1 (https://www.notion.so/Arcjet-Feb-26-1-268c26b3b4f98000a696d2ab7864649b?pvs=21)",,"Arcjet 6 pack late 25 (https://www.notion.so/Arcjet-6-pack-late-25-268c26b3b4f9804bb0becf08474f19ab?pvs=21), Arcjet 2 Pack 2025 (https://www.notion.so/Arcjet-2-Pack-2025-268c26b3b4f98069b50edda39386f765?pvs=21)",6/8,6/8,Done
Daytona,"Daytona 1 (https://www.notion.so/Daytona-1-232c26b3b4f980c78fdff3c0eb9a2a2a?pvs=21), Daytona 2 (https://www.notion.so/Daytona-2-232c26b3b4f9808498cec436d4e87d83?pvs=21), Daytona Oct 25-1 (https://www.notion.so/Daytona-Oct-25-1-27fc26b3b4f980e9b3d4ed1b1a3af72c?pvs=21), Daytona Nov 25-1 (https://www.notion.so/Daytona-Nov-25-1-27fc26b3b4f980e79798faa529ebfdef?pvs=21), Daytona Dec 25-1 (https://www.notion.so/Daytona-Dec-25-1-27fc26b3b4f98003bb6bc43699a6f2ad?pvs=21), Daytona Jan 26-1 (https://www.notion.so/Daytona-Jan-26-1-27fc26b3b4f980f4bc76f274028c9168?pvs=21), Daytona Feb 26-1 (https://www.notion.so/Daytona-Feb-26-1-27fc26b3b4f9806ea1b9cb85af364450?pvs=21), Daytona Mar 26-1 (https://www.notion.so/Daytona-Mar-26-1-27fc26b3b4f980ffb999f1a5625ebe7e?pvs=21)",,"Daytona 2 Pack 2025 (https://www.notion.so/Daytona-2-Pack-2025-268c26b3b4f980e7ae08d7dea7184483?pvs=21), Daytona 6 Pack 2025 (https://www.notion.so/Daytona-6-Pack-2025-27fc26b3b4f9802e858ecec57b166e1e?pvs=21)",6/8,5/8,Done
Warp,"Warp 1 (https://www.notion.so/Warp-1-246c26b3b4f980a8a071c731779ca615?pvs=21), Warp 2 (https://www.notion.so/Warp-2-246c26b3b4f980fba5ccf42032b32e00?pvs=21)",,Warp 2 Pack 2025 (https://www.notion.so/Warp-2-Pack-2025-268c26b3b4f9804eaee4caf3d198184a?pvs=21),1/2,1/2,Done
Composio,"Composio 1 (https://www.notion.so/Composio-1-27ac26b3b4f98023bf8dfd7ad48337ed?pvs=21), Composio 2 (https://www.notion.so/Composio-2-27ac26b3b4f9805aa5c8c54b1d32c28b?pvs=21)",sujay@composio.dev,Composio 2 Pack Late 2025 (https://www.notion.so/Composio-2-Pack-Late-2025-27ac26b3b4f980069ec9d60d6a16fc16?pvs=21),0/2,0/2,Done
Morph LLM,"Morph LLM 1 (https://www.notion.so/Morph-LLM-1-27ac26b3b4f9802d8139d64b44477448?pvs=21), Morph LLM 2 (https://www.notion.so/Morph-LLM-2-27ac26b3b4f98005a0daeb0408bca1f0?pvs=21)",,Morph LLM 2 Pack Late 2025 (https://www.notion.so/Morph-LLM-2-Pack-Late-2025-27ac26b3b4f980c49f73f763685417a7?pvs=21),0/2,0/2,Done
Greptile,"Greptile 1 (https://www.notion.so/Greptile-1-27fc26b3b4f9807497a8fe4049d3a02b?pvs=21), Greptile 2 (https://www.notion.so/Greptile-2-27fc26b3b4f980e6bb2ac930016d9e74?pvs=21), Greptile 3 (FREE AD) (https://www.notion.so/Greptile-3-FREE-AD-29ac26b3b4f980dcaeb3d08c27fc6d49?pvs=21), Greptile Nov 25-1 (https://www.notion.so/Greptile-Nov-25-1-2a8c26b3b4f9800f8c51d253fe58b9e2?pvs=21), Greptile Jan 26-1 (https://www.notion.so/Greptile-Jan-26-1-2a8c26b3b4f9801ea068f8856dd49b90?pvs=21), Greptile Dec 25-1 (https://www.notion.so/Greptile-Dec-25-1-2a8c26b3b4f9809a9df8cbff6985d8d0?pvs=21), Greptile Dec 25-2 (https://www.notion.so/Greptile-Dec-25-2-2a8c26b3b4f9808ba79ffb6020c3c0a1?pvs=21), Greptile Jan 26-2 (https://www.notion.so/Greptile-Jan-26-2-2a8c26b3b4f9801e9aa4e7c2b10dd961?pvs=21), Greptile Feb 26-1 (https://www.notion.so/Greptile-Feb-26-1-2a8c26b3b4f980ae90afc029d42fdb11?pvs=21), Greptile Feb 26-2 (https://www.notion.so/Greptile-Feb-26-2-2a8c26b3b4f980c99fe4c001237dac9c?pvs=21), Greptile Mar 26-1 (https://www.notion.so/Greptile-Mar-26-1-2a8c26b3b4f980ebb440f3510f832883?pvs=21), Greptile Mar 26-2 (https://www.notion.so/Greptile-Mar-26-2-2a8c26b3b4f980e28122f3b46098c43f?pvs=21), Greptile Apr 26-1 (https://www.notion.so/Greptile-Apr-26-1-2a8c26b3b4f9800ba48add19a0af5cd2?pvs=21), Greptile Apr 26-2 (https://www.notion.so/Greptile-Apr-26-2-2a8c26b3b4f9800e986cf77374653c8b?pvs=21), Greptile May 26-1 (https://www.notion.so/Greptile-May-26-1-2a8c26b3b4f98034ac59e7e2117adc0d?pvs=21), Greptile May 26-2 (https://www.notion.so/Greptile-May-26-2-2a8c26b3b4f98079a8c6cf37f56a53bf?pvs=21), Greptile Jun 26-1 (https://www.notion.so/Greptile-Jun-26-1-2a8c26b3b4f9805d88d3fb5bb14e32c9?pvs=21), Greptile Jun 26-2 (https://www.notion.so/Greptile-Jun-26-2-2a8c26b3b4f9803fbbc5cbbb8a4ad243?pvs=21), Greptile Jul 26-1 (https://www.notion.so/Greptile-Jul-26-1-2a8c26b3b4f980aab608ef11aefceaa9?pvs=21), Greptile Jul 26-2 (https://www.notion.so/Greptile-Jul-26-2-2a8c26b3b4f980b1b45cc449e31bfdcf?pvs=21), Greptile Aug 26-1 (https://www.notion.so/Greptile-Aug-26-1-2a8c26b3b4f980ecb8cffdb82febefd8?pvs=21), Greptile Aug 26-2 (https://www.notion.so/Greptile-Aug-26-2-2a8c26b3b4f980e6aadffbf39b8a63ab?pvs=21), Greptile Sep 26-1 (https://www.notion.so/Greptile-Sep-26-1-2a8c26b3b4f9804f8168dfee22eebc08?pvs=21), Greptile Sep 26-2 (https://www.notion.so/Greptile-Sep-26-2-2a8c26b3b4f98060a0dfe42910392fe6?pvs=21), Greptile Oct 26-1 (https://www.notion.so/Greptile-Oct-26-1-2a8c26b3b4f98097a4efe63bddf29179?pvs=21), Greptile Oct 26-2 (https://www.notion.so/Greptile-Oct-26-2-2a8c26b3b4f9808795a9c9228460dae6?pvs=21), Greptile Nov 26-1 (https://www.notion.so/Greptile-Nov-26-1-2a8c26b3b4f980279590e3a6ed4f9ef2?pvs=21)",rahul@greptile.com,"Greptile 2 Pack 2025 (https://www.notion.so/Greptile-2-Pack-2025-27fc26b3b4f980398aaafd69c410d723?pvs=21), Greptile Annual 1 (https://www.notion.so/Greptile-Annual-1-2a8c26b3b4f980e6b8ecde05877ceb22?pvs=21)",6/27,6/27,Done
Rork,"Rork 1 (https://www.notion.so/Rork-1-27fc26b3b4f9800baf6ce3f27da40ee6?pvs=21), Rork 2 (https://www.notion.so/Rork-2-27fc26b3b4f980caba1df7181949848f?pvs=21)",daniel@rorkai.com,Rork 2 Pack 2025 (https://www.notion.so/Rork-2-Pack-2025-27fc26b3b4f980bfa37fc2cc3090fc43?pvs=21),1/2,1/2,Done
Modal,"Modal 1 (https://www.notion.so/Modal-1-27fc26b3b4f98053b100de6a8225092c?pvs=21), Modal 2 (https://www.notion.so/Modal-2-27fc26b3b4f98094b1c4c17a749c4b53?pvs=21)",kenny@modal.com,Modal 2 Pack 2025 (https://www.notion.so/Modal-2-Pack-2025-27fc26b3b4f9804c822ec16aee14f43c?pvs=21),2/2,2/2,Done
"Factory ","Factory 1 (https://www.notion.so/Factory-1-27fc26b3b4f98098bfa5cf79e0bd17f7?pvs=21), Factory 2 (https://www.notion.so/Factory-2-27fc26b3b4f980b5bcefc83b8f8d0d0d?pvs=21)",,Factory 2 Pack 2025 (https://www.notion.so/Factory-2-Pack-2025-27fc26b3b4f980658405d99765eb8229?pvs=21),0/2,0/2,Done
SpacetimeDB,"SpacetimeDB 1 (https://www.notion.so/SpacetimeDB-1-27fc26b3b4f9807bb9efe19b6ed469e3?pvs=21), SpacetimeDB 2 (https://www.notion.so/SpacetimeDB-2-27fc26b3b4f980c09517ff0c994e581c?pvs=21)",,,0/2,0/2,Done
